date,store_id,item_id,units,price,promo,promo_depth,dow,holiday,on_hand,stockout,brand,category,key,yhat_t7
2024-08-01,001,A,22,3.9910257830175957,0,0.0,3,0,65,0,Acme,Cereal,001_A,
2024-08-02,001,A,24,3.950040604813707,0,0.0,4,0,58,0,Acme,Cereal,001_A,
2024-08-03,001,A,36,3.219567302873404,1,0.2,5,0,52,0,Acme,Cereal,001_A,
2024-08-04,001,A,20,3.9442656551912707,0,0.0,6,0,59,0,Acme,Cereal,001_A,
2024-08-05,001,A,17,4.0214245886138915,0,0.0,0,0,62,0,Acme,Cereal,001_A,
2024-08-06,001,A,19,3.9806784343904873,0,0.0,1,0,36,0,Acme,Cereal,001_A,
2024-08-07,001,A,20,3.924069858987384,0,0.0,2,0,54,0,Acme,Cereal,001_A,
2024-08-08,001,A,17,3.9867090301669608,0,0.0,3,0,52,0,Acme,Cereal,001_A,22.0
2024-08-09,001,A,39,3.2125021353266194,1,0.2,4,0,32,0,Acme,Cereal,001_A,24.0
2024-08-10,001,A,18,4.022351493525888,0,0.0,5,0,48,0,Acme,Cereal,001_A,36.0
2024-08-11,001,A,22,3.9851025498346675,0,0.0,6,0,55,0,Acme,Cereal,001_A,20.0
2024-08-12,001,A,16,3.9670552987333108,0,0.0,0,0,63,0,Acme,Cereal,001_A,17.0
2024-08-13,001,A,21,4.03468253125561,0,0.0,1,0,52,0,Acme,Cereal,001_A,19.0
2024-08-14,001,A,18,4.005176746485669,0,0.0,2,0,61,0,Acme,Cereal,001_A,20.0
2024-08-15,001,A,17,4.003840239103251,0,0.0,3,0,55,0,Acme,Cereal,001_A,17.0
2024-08-16,001,A,19,3.9906520271954995,0,0.0,4,0,56,0,Acme,Cereal,001_A,39.0
2024-08-17,001,A,37,3.2193848608924602,1,0.2,5,0,58,0,Acme,Cereal,001_A,18.0
2024-08-18,001,A,19,3.9491331892191925,0,0.0,6,0,68,0,Acme,Cereal,001_A,22.0
2024-08-19,001,A,17,3.968693742328536,0,0.0,0,0,62,0,Acme,Cereal,001_A,16.0
2024-08-20,001,A,24,4.0113394875215755,0,0.0,1,0,67,0,Acme,Cereal,001_A,21.0
2024-08-21,001,A,20,3.9783824086998334,0,0.0,2,0,57,0,Acme,Cereal,001_A,18.0
2024-08-22,001,A,15,3.9907534677805443,0,0.0,3,0,62,0,Acme,Cereal,001_A,17.0
2024-08-23,001,A,41,3.1908710152764863,1,0.2,4,0,42,0,Acme,Cereal,001_A,19.0
2024-08-24,001,A,25,3.9530827361307166,0,0.0,5,0,53,0,Acme,Cereal,001_A,37.0
2024-08-25,001,A,22,3.8983677064237265,0,0.0,6,0,44,0,Acme,Cereal,001_A,19.0
2024-08-26,001,A,19,3.9548059760115097,0,0.0,0,0,64,0,Acme,Cereal,001_A,17.0
2024-08-27,001,A,16,3.959180450260841,0,0.0,1,0,60,0,Acme,Cereal,001_A,24.0
2024-08-28,001,A,18,3.9921206260855078,0,0.0,2,0,50,0,Acme,Cereal,001_A,20.0
2024-08-29,001,A,18,4.042490830937149,0,0.0,3,0,41,0,Acme,Cereal,001_A,15.0
2024-08-30,001,A,41,3.1866198153723015,1,0.2,4,0,43,0,Acme,Cereal,001_A,41.0
2024-08-31,001,A,39,3.1717374351856376,1,0.2,5,0,41,0,Acme,Cereal,001_A,25.0
2024-09-01,001,A,18,4.020905944252769,0,0.0,6,0,58,0,Acme,Cereal,001_A,22.0
2024-09-02,001,A,18,3.9751249516268055,0,0.0,0,0,68,0,Acme,Cereal,001_A,19.0
2024-09-03,001,A,19,4.075243747652762,0,0.0,1,0,60,0,Acme,Cereal,001_A,16.0
2024-09-04,001,A,21,3.9930660375461073,0,0.0,2,0,56,0,Acme,Cereal,001_A,18.0
2024-09-05,001,A,19,3.968123859185531,0,0.0,3,0,68,0,Acme,Cereal,001_A,18.0
2024-09-06,001,A,36,3.172297246336394,1,0.2,4,0,54,0,Acme,Cereal,001_A,41.0
2024-09-07,001,A,22,4.00774228012789,0,0.0,5,0,37,0,Acme,Cereal,001_A,39.0
2024-09-08,001,A,22,3.972143305033394,0,0.0,6,0,84,0,Acme,Cereal,001_A,18.0
2024-09-09,001,A,17,3.9959851476946855,0,0.0,0,0,56,0,Acme,Cereal,001_A,18.0
2024-09-10,001,A,19,3.9489173150120886,0,0.0,1,0,56,0,Acme,Cereal,001_A,19.0
2024-09-11,001,A,18,4.007889228911497,0,0.0,2,0,44,0,Acme,Cereal,001_A,21.0
2024-09-12,001,A,25,3.9346845957843053,0,0.0,3,0,39,0,Acme,Cereal,001_A,19.0
2024-09-13,001,A,26,3.9911663585728503,0,0.0,4,0,75,0,Acme,Cereal,001_A,36.0
2024-09-14,001,A,24,3.99608646921725,0,0.0,5,0,61,0,Acme,Cereal,001_A,22.0
2024-09-15,001,A,17,3.988061514745992,0,0.0,6,0,72,0,Acme,Cereal,001_A,22.0
2024-09-16,001,A,23,3.934032175496923,0,0.0,0,0,56,0,Acme,Cereal,001_A,17.0
2024-09-17,001,A,14,4.020202336211165,0,0.0,1,0,63,0,Acme,Cereal,001_A,19.0
2024-09-18,001,A,22,4.063635554499343,0,0.0,2,0,53,0,Acme,Cereal,001_A,18.0
2024-09-19,001,A,15,4.039013049752884,0,0.0,3,0,68,0,Acme,Cereal,001_A,25.0
2024-09-20,001,A,24,3.9942207216652816,0,0.0,4,0,39,0,Acme,Cereal,001_A,26.0
